Run,Iteration,SMILES,Deep Frag Score,VINA
3,2,O=C(c1cccc(C(F)(F)F)c1)N1CCC(N2CCc3cc(F)ccc32)CC1(O)CF,0.543857,-10.13
9,6,COc1cccc2c(F)c(F)cc(Cn3nc(C)c(C4(O)NC(=O)c5ccc(F)c(F)c5N4)c3C)c12,0.633586,-10.13
4,1,CCC(C(=O)N1N=C(c2ccc3ccccc3c2)CC1c1ccccc1)N1CCN(c2ccccc2C)CC1,0.778282,-10.13
9,8,CCc1c(C2(O)NC(=O)c3ccc(F)c(F)c3N2F)c(C)nn1C(CC)c1cc(F)c(F)c2ccccc12,0.555841,-10.12
4,4,C=Cc1c(C2=NN(C(=O)CN3CCN(c4cc(O)c(O)cc4C)CC3)C(c3ccccc3)C2)ccc2c(O)cccc12,0.555956,-10.12
9,4,Cc1nn(Cc2cc(F)cc3ccccc23)c(C)c1C1(O)NC(=O)c2c(O)cc(F)cc2N1,0.830094,-10.12
4,8,COc1ccc(C2C(F)C(c3ccc4c(O)cc(O)cc4c3)=NN2C(=O)CN2CCN(c3cc(O)c(O)cc3C)CC2)c(F)c1F,0.653128,-10.12
4,7,Cc1cc(O)c(O)cc1N1CCN(CC(=O)N2N=C(c3ccc4c(O)cc(O)cc4c3)C(F)C2(C)c2ccccc2F)CC1,0.772527,-10.11
9,6,Cc1nn(Cc2cc(F)c(F)c3ccccc23)c(C)c1C1(O)NC(=O)c2ccc(F)c(F)c2N1C=O,0.587364,-10.11
9,7,CCc1c(C2(O)NC(=O)c3c(CO)cc(F)c(F)c3N2)c(C)nn1Cc1cc(F)c(F)c2ccccc12,0.596836,-10.11
4,8,Cc1cc(O)c(O)cc1N1CCN(CC(=O)N2N=C(c3ccc4c(O)cc(O)c(C)c4c3)C(F)C2c2cccc(F)c2F)CC1,0.653471,-10.11
9,6,Cc1nn(Cc2cc(F)c(F)c3ccccc23)c(CC[SeH])c1C1(O)NC(=O)c2ccc(F)c(F)c2N1,0.563678,-10.11
4,1,Cc1ccccc1N1CCN(C(CCS)C(=O)N2N=C(c3ccc4ccccc4c3)CC2c2ccccc2)CC1,0.596404,-10.11
4,6,Cc1cc(O)c(O)cc1N1CCN(C(CO)C(=O)N2N=C(c3ccc4c(O)cccc4c3)C(F)C2c2ccccc2F)CC1,0.631647,-10.11
5,2,Cc1cccc(C(c2cc(C)c3c(c2)OCC(O)CO3)N2C(=O)NC3(CCCc4ccccc43)C2=O)c1,0.581549,-10.1
4,9,Cc1cc(O)c(O)c(O)c1N1CCN(CC(=O)N2N=C(c3ccc4c(O)c(ON)c(O)cc4c3)C(F)C2c2cccc(F)c2F)CC1,0.571219,-10.1
9,6,Cc1nn(Cc2cc(F)c(F)c3ccc(F)cc23)c(C)c1C1(O)NC(=O)c2ccc(F)c(F)c2N1,0.73567,-10.1
7,4,COC1CCCc2sc3nc(CN4CCN(S(=O)(=O)c5ccc6c(c5)C(O)CCC6O)CC4)[nH]c(=O)c3c21,0.990031,-10.1
5,5,CCN1C(=O)N(C(C)c2cc(C)c3c(c2)OCC(O)C(CCl)O3)C(=O)C12CCCc1ccccc12,0.564721,-10.09
9,5,Cc1nn(Cc2cc(F)c(F)c3ccccc23)c(CC#N)c1C1(O)NC(=O)c2ccc(F)cc2N1,0.5587,-10.09
5,4,Cc1cc(C(C)N2C(=O)N(C)C3(CC(C)Cc4ccccc43)C2=O)cc2c1OCC(O)CO2,0.577825,-10.09
